Athlete,Age,Country,Year,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Anthony Sanders,26,United States,2000,1,0,0,1
Antonio McDyess,26,United States,2000,1,0,0,1
Apolo Anton Ohno,27,United States,2010,0,1,2,3
Apolo Anton Ohno,23,United States,2006,1,0,2,3
Apolo Anton Ohno,19,United States,2002,1,1,0,2
April Ross,30,United States,2012,0,1,0,1
Aries Merritt,27,United States,2012,1,0,0,1
Ashley Tappin,25,United States,2000,2,0,0,2
Ashton Eaton,24,United States,2012,1,0,0,1
Asjha Jones,31,United States,2012,1,0,0,1
B. J. Bedford,27,United States,2000,1,0,0,1
Beau Hoopman,27,United States,2008,0,0,1,1
Beau Hoopman,23,United States,2004,1,0,0,1
Becca Ward,18,United States,2008,0,0,2,2
Becky Sauerbrunn,27,United States,2012,1,0,0,1
Beezie Madden,44,United States,2008,1,0,1,2
Beezie Madden,40,United States,2004,1,0,0,1
Ben Agosto,24,United States,2006,0,1,0,1
Ben Sheets,22,United States,2000,1,0,0,1
Ben Wildman-Tobriner,23,United States,2008,1,0,0,1
Bernard Williams III,26,United States,2004,0,1,0,1
Bernard Williams III,22,United States,2000,1,0,0,1
Bernice Orwig,23,United States,2000,0,1,0,1
Bershawn Jackson,25,United States,2008,0,0,1,1
Betsey Armstrong,29,United States,2012,1,0,0,1
Betsey Armstrong,25,United States,2008,0,1,0,1
Bianca Knight,23,United States,2012,1,0,0,1
Bill Demong,29,United States,2010,1,1,0,2
Bill Guerin,31,United States,2002,0,1,0,1
Bill Schuffenhauer,28,United States,2002,0,1,0,1
Blaine Neal,30,United States,2008,0,0,1,1
Blaine Wilson,30,United States,2004,0,1,0,1
Bob Bryan,34,United States,2012,1,0,0,1
Bob Bryan,30,United States,2008,0,0,1,1
Bob Merrick,29,United States,2000,0,1,0,1
Bobby Julich,32,United States,2004,0,0,1,1
Bobby Ryan,22,United States,2010,0,1,0,1
Bobby Seay,22,United States,2000,1,0,0,1
Bode Miller,32,United States,2010,1,1,1,3
Bode Miller,24,United States,2002,0,2,0,2
Brad Wilkerson,23,United States,2000,1,0,0,1
Brady Ellison,23,United States,2012,0,1,0,1
Brandi Chastain,36,United States,2004,1,0,0,1
Brandi Chastain,32,United States,2000,0,1,0,1
Brandon Brooks,27,United States,2008,0,1,0,1
Brandon Knight,32,United States,2008,0,0,1,1
Brandon Slay,24,United States,2000,1,0,0,1
Breeja Larson,20,United States,2012,1,0,0,1
Brenda Villa,32,United States,2012,1,0,0,1
Brenda Villa,28,United States,2008,0,1,0,1
Brenda Villa,24,United States,2004,0,0,1,1
Brenda Villa,20,United States,2000,0,1,0,1
Brendan Hansen,22,United States,2004,1,1,1,3
Brendan Hansen,30,United States,2012,1,0,1,2
Brendan Hansen,27,United States,2008,1,0,0,1
Brent Abernathy,22,United States,2000,1,0,0,1
Brett Anderson,20,United States,2008,0,0,1,1
Brett Camerota,25,United States,2010,0,1,0,1
Brett Hull,37,United States,2002,0,1,0,1
Brett McClure,23,United States,2004,0,1,0,1
Brian Barden,27,United States,2008,0,0,1,1
Brian Duensing,25,United States,2008,0,0,1,1
Brian Hansen,19,United States,2010,0,1,0,1
Brian Leetch,33,United States,2002,0,1,0,1
Brian Lewis,25,United States,2000,1,0,0,1
Brian Martin,28,United States,2002,0,1,0,1
Brian Rafalski,36,United States,2010,0,1,0,1
Brian Rafalski,28,United States,2002,0,1,0,1
Brian Rolston,28,United States,2002,0,1,0,1
Brian Shimer,39,United States,2002,0,0,1,1
Briana Scurry,32,United States,2004,1,0,0,1
Brianne McLaughlin,22,United States,2010,0,1,0,1
Bridget Sloan,16,United States,2008,0,1,0,1
Brigetta Barrett,21,United States,2012,0,1,0,1
Brittany Hayes,23,United States,2008,0,1,0,1
Brittney Reese,25,United States,2012,1,0,0,1
Brooke Bennett,20,United States,2000,2,0,0,2
Brooks Orpik,29,United States,2010,0,1,0,1
Bryan Clay,28,United States,2008,1,0,0,1
Bryan Clay,24,United States,2004,0,1,0,1
Bryan Volpenhein,31,United States,2008,0,0,1,1
Bryan Volpenhein,27,United States,2004,1,0,0,1
Bryon Wilson,21,United States,2010,0,0,1,1
Bryshon Nellum,23,United States,2012,0,1,0,1
Butch Johnson,45,United States,2000,0,0,1,1
Cael Sanderson,25,United States,2004,1,0,0,1
Caitlin Cahow,24,United States,2010,0,1,0,1
Caitlin Cahow,20,United States,2006,0,0,1,1
Caitlin Leverenz,21,United States,2012,0,0,1,1
Caitlin Lowe,23,United States,2008,0,1,0,1
Cammi Granato,30,United States,2002,0,1,0,1
Candace Parker,26,United States,2012,1,0,0,1
Candace Parker,22,United States,2008,1,0,0,1
Cappie Pondexter,25,United States,2008,1,0,0,1
Carli Lloyd,30,United States,2012,1,0,0,1
Carli Lloyd,26,United States,2008,1,0,0,1
Carlos Boozer,26,United States,2008,1,0,0,1
Carlos Boozer,22,United States,2004,0,0,1,1
Carly Patterson,16,United States,2004,1,2,0,3
Carly Piper,20,United States,2004,1,0,0,1
Carmelita Jeter,32,United States,2012,1,1,1,3
Carmelo Anthony,28,United States,2012,1,0,0,1
Carmelo Anthony,24,United States,2008,1,0,0,1
Carmelo Anthony,20,United States,2004,0,0,1,1
Caroline Burckle,22,United States,2008,0,0,1,1
Caroline Lind,29,United States,2012,1,0,0,1
Caroline Lind,25,United States,2008,1,0,0,1
Caryn Davies,30,United States,2012,1,0,0,1
Caryn Davies,26,United States,2008,1,0,0,1
Caryn Davies,22,United States,2004,0,1,0,1
Casey FitzRandolph,27,United States,2002,1,0,0,1
Casey Weathers,23,United States,2008,0,0,1,1
Cat Osterman,25,United States,2008,0,1,0,1
Cat Osterman,21,United States,2004,1,0,0,1
Cat Reddick,22,United States,2004,1,0,0,1
Chad Carvin,26,United States,2000,0,1,0,1
Chad Hedrick,28,United States,2006,1,1,1,3
Chad Hedrick,32,United States,2010,0,1,1,2
Chanda Gunn,26,United States,2006,0,0,1,1
Charlie Cole,26,United States,2012,0,0,1,1
Charlie Houchin,24,United States,2012,1,0,0,1
Charlie McKee,38,United States,2000,0,0,1,1
Charlie Ogletree,36,United States,2004,0,1,0,1
Charlie White,22,United States,2010,0,1,0,1
Chellsie Memmel,20,United States,2008,0,1,0,1
Cheryl Haworth,17,United States,2000,0,0,1,1
Chris Ahrens,28,United States,2004,1,0,0,1
Chris Bailey,30,United States,2002,0,1,0,1
Chris Bosh,24,United States,2008,1,0,0,1
Chris Chelios,40,United States,2002,0,1,0,1
Chris Drury,33,United States,2010,0,1,0,1
Chris Drury,25,United States,2002,0,1,0,1
Chris George,21,United States,2000,1,0,0,1
Chris Huffins,30,United States,2000,0,0,1,1
Chris Kappler,37,United States,2004,1,1,0,2
Chris Klug,29,United States,2002,0,0,1,1
Chris Paul,27,United States,2012,1,0,0,1
Chris Paul,23,United States,2008,1,0,0,1
Chris Thompson,21,United States,2000,0,0,1,1
Chris Thorpe,31,United States,2002,0,0,1,1
Chris Witty,26,United States,2002,1,0,0,1
Christa Harmotto,25,United States,2012,0,1,0,1
Christa Williams,22,United States,2000,1,0,0,1
Christian Cantwell,27,United States,2008,0,1,0,1
Christian Taylor,22,United States,2012,1,0,0,1
Christie Ambrosi,23,United States,2000,1,0,0,1
Christie Pearce-Rampone,37,United States,2012,1,0,0,1
Christie Pearce-Rampone,33,United States,2008,1,0,0,1
Christie Pearce-Rampone,29,United States,2004,1,0,0,1
Christie Pearce-Rampone,25,United States,2000,0,1,0,1
Christine Collins,31,United States,2000,0,0,1,1
Christine Magnuson,22,United States,2008,0,2,0,2
Christine Marshall,22,United States,2008,0,0,1,1
Christine Traurig,43,United States,2000,0,0,1,1
Chryste Gaines,30,United States,2000,0,0,1,1
Cindy Parlow,26,United States,2004,1,0,0,1
Cindy Parlow,22,United States,2000,0,1,0,1
Claire Donahue,23,United States,2012,1,0,0,1
Clarence Vinson,22,United States,2000,0,0,1,1
Claressa Shields,17,United States,2012,1,0,0,1
Clarissa Chun,30,United States,2012,0,0,1,1
Clay Ives,29,United States,2002,0,0,1,1
Clay Stanley,30,United States,2008,1,0,0,1
Coby Miller,27,United States,2004,0,1,0,1
Coleman Scott,26,United States,2012,0,0,1,1
Colleen Lanne,24,United States,2004,0,1,0,1
Conor Dwyer,23,United States,2012,1,0,0,1
Coralie Simmons,23,United States,2000,0,1,0,1
Corey Cogdell,21,United States,2008,0,0,1,1
Courtney Hurley,21,United States,2012,0,0,1,1
Courtney Johnson,26,United States,2000,0,1,0,1
Courtney Kennedy,26,United States,2006,0,0,1,1
Courtney Kennedy,22,United States,2002,0,1,0,1
Courtney Kupets,18,United States,2004,0,1,1,2
Courtney Mathewson,25,United States,2012,1,0,0,1
Courtney McCool,16,United States,2004,0,1,0,1
Courtney Shealy,22,United States,2000,2,0,0,2
Courtney Thompson,27,United States,2012,0,1,0,1
Cristina Teuscher,22,United States,2000,0,0,1,1
Crystal Cox,25,United States,2004,1,0,0,1
Crystl Bustos,30,United States,2008,0,1,0,1
Crystl Bustos,26,United States,2004,1,0,0,1
Crystl Bustos,23,United States,2000,1,0,0,1
Cullen Jones,28,United States,2012,1,2,0,3
Cullen Jones,24,United States,2008,1,0,0,1
Curt Tomasevicz,29,United States,2010,1,0,0,1
Dain Blanton,28,United States,2000,1,0,0,1
Dan Beery,29,United States,2004,1,0,0,1
Dan Ketchum,22,United States,2004,1,0,0,1
Dan Steele,32,United States,2002,0,0,1,1
Dana Vollmer,24,United States,2012,3,0,0,3
Dana Vollmer,16,United States,2004,1,0,0,1
Danell Leyva,20,United States,2012,0,0,1,1
Daniel Walsh,29,United States,2008,0,0,1,1
Danielle Henderson,23,United States,2000,1,0,0,1
Danielle Scott-Arruda,39,United States,2012,0,1,0,1
Danielle Scott-Arruda,35,United States,2008,0,1,0,1
Danny Kass,23,United States,2006,0,1,0,1
Danny Kass,19,United States,2002,0,1,0,1
Dara Torres,33,United States,2000,2,0,3,5
Dara Torres,41,United States,2008,0,3,0,3
Darold Williamson,21,United States,2004,1,0,0,1
Darren Chiacchia,39,United States,2004,0,0,1,1
Darvis Patton,34,United States,2012,0,1,0,1
Darvis Patton,26,United States,2004,0,1,0,1
Dave Walters,20,United States,2008,1,0,0,1
David Backes,25,United States,2010,0,1,0,1
David Boudia,23,United States,2012,1,0,1,2
David Lee,26,United States,2008,1,0,0,1
David Neville,24,United States,2008,1,0,1,2
David O'Connor,38,United States,2000,1,0,1,2
David Oliver,26,United States,2008,0,0,1,1
David Payne,26,United States,2008,0,1,0,1
Davis Tarwater,28,United States,2012,1,0,0,1
Dawn Harper,28,United States,2012,0,1,0,1
Dawn Harper,24,United States,2008,1,0,0,1
Dawn Staley,34,United States,2004,1,0,0,1
Dawn Staley,30,United States,2000,1,0,0,1
Debbie McDonald,49,United States,2004,0,0,1,1
Dede Demet-Barry,31,United States,2004,0,1,0,1
DeeDee Trotter,29,United States,2012,1,0,1,2
DeeDee Trotter,21,United States,2004,1,0,0,1
Deena Drossin-Kastor,31,United States,2004,0,0,1,1
DeLisha Milton-Jones,33,United States,2008,1,0,0,1
DeLisha Milton-Jones,26,United States,2000,1,0,0,1
Deontay Wilder,22,United States,2008,0,0,1,1
Derek Parra,31,United States,2002,1,1,0,2
Deron Williams,28,United States,2012,1,0,0,1
Deron Williams,24,United States,2008,1,0,0,1
Derrick Brew,26,United States,2004,1,0,1,2
Destinee Hooker,24,United States,2012,0,1,0,1
Dexter Fowler,22,United States,2008,0,0,1,1
Diamond Dixon,20,United States,2012,1,0,0,1
Diana Lopez,24,United States,2008,0,0,1,1
Diana Munz,18,United States,2000,1,1,0,2
Diana Munz,22,United States,2004,0,0,1,1
Diana Taurasi,30,United States,2012,1,0,0,1
Diana Taurasi,26,United States,2008,1,0,0,1
Diana Taurasi,22,United States,2004,1,0,0,1
Dominique Dawes,23,United States,2000,0,0,1,1
Donny Robinson,25,United States,2008,0,0,1,1
Dot Richardson,38,United States,2000,1,0,0,1
Dotsie Bausch,39,United States,2012,0,1,0,1
Doug Mientkiewicz,26,United States,2000,1,0,0,1
Doug Sharp,32,United States,2002,0,0,1,1
Doug Weight,31,United States,2002,0,1,0,1
Dustin Brown,25,United States,2010,0,1,0,1
Dwight Howard,22,United States,2008,1,0,0,1
Dwight Phillips,26,United States,2004,1,0,0,1
Dwyane Wade Jr.,26,United States,2008,1,0,0,1
Dwyane Wade Jr.,22,United States,2004,0,0,1,1
Ed Moses,20,United States,2000,1,1,0,2
Elaine Breeden,19,United States,2008,0,1,0,1
Elaine Youngs,34,United States,2004,0,0,1,1
Elana Meyers,25,United States,2010,0,0,1,1
Elise Ray,18,United States,2000,0,0,1,1
Elizabeth Beisel,19,United States,2012,0,1,1,2
Elle Logan,24,United States,2012,1,0,0,1
Elle Logan,20,United States,2008,1,0,0,1
Ellen Estes,25,United States,2004,0,0,1,1
Ellen Estes,21,United States,2000,0,1,0,1
Elsie Windes,27,United States,2012,1,0,0,1
Elsie Windes,23,United States,2008,0,1,0,1
Emeka Okafor,21,United States,2004,0,0,1,1
Emily Cross,21,United States,2008,0,1,0,1
Emily deRiel,25,United States,2000,0,1,0,1
Emily Silver,22,United States,2008,0,1,0,1
Eric Fonoimoana,31,United States,2000,1,0,0,1
Eric Shanteau,28,United States,2012,1,0,0,1
Ericka Lorenz,23,United States,2004,0,0,1,1
Ericka Lorenz,19,United States,2000,0,1,0,1
Erik Johnson,21,United States,2010,0,1,0,1
Erik Kynard,21,United States,2012,0,1,0,1
Erik Vendt,27,United States,2008,1,0,0,1
Erik Vendt,23,United States,2004,0,1,0,1
Erik Vendt,19,United States,2000,0,1,0,1
Erika Lawler,23,United States,2010,0,1,0,1
Erin Cafaro,29,United States,2012,1,0,0,1
Erin Cafaro,25,United States,2008,1,0,0,1
Erin Dobratz,21,United States,2004,0,0,1,1
Erin Pac,29,United States,2010,0,0,1,1
Erin Phenix,19,United States,2000,1,0,0,1
Erinn Smart,28,United States,2008,0,1,0,1
Ernie Young,31,United States,2000,1,0,0,1
Esther Lofgren,27,United States,2012,1,0,0,1
Evan Lysacek,24,United States,2010,1,0,0,1
Foluke Akinradewo,24,United States,2012,0,1,0,1
Francena McCorory,23,United States,2012,1,0,0,1
Gabby Douglas,16,United States,2012,2,0,0,2
Gabe Gardner,32,United States,2008,1,0,0,1
Gabe Woodward,25,United States,2004,0,0,1,1
Galen Rupp,26,United States,2012,0,1,0,1
Garrett Hines,32,United States,2002,0,1,0,1
Garrett Lowney,20,United States,2000,0,0,1,1
Garrett Weber-Gale,23,United States,2008,2,0,0,2
Gary Hall Jr.,25,United States,2000,2,1,1,4
Gary Hall Jr.,29,United States,2004,1,0,1,2
Gary Payton,32,United States,2000,1,0,0,1
Gary Suter,37,United States,2002,0,1,0,1
Georgia Gould,32,United States,2012,0,0,1,1
Gigi Marvin,22,United States,2010,0,1,0,1
Gina Miles,34,United States,2008,0,1,0,1
Glenn Eller,26,United States,2008,1,0,0,1
Glenn Ochal,26,United States,2012,0,0,1,1
Gretchen Bleiler,24,United States,2006,0,1,0,1
Guard Young,27,United States,2004,0,1,0,1
Guenter Seidel,43,United States,2004,0,0,1,1
Guenter Seidel,40,United States,2000,0,0,1,1
Haley Anderson,20,United States,2012,0,1,0,1
Haley Cope,25,United States,2004,0,1,0,1
Hanna Thompson,24,United States,2008,0,1,0,1
Hannah Kearney,23,United States,2010,1,0,0,1
Hannah Teter,23,United States,2010,0,1,0,1
Hannah Teter,19,United States,2006,1,0,0,1
Heather Bown,29,United States,2008,0,1,0,1
Heather Mitts,34,United States,2012,1,0,0,1
Heather Mitts,30,United States,2008,1,0,0,1
Heather Mitts,26,United States,2004,1,0,0,1
Heather Moody,30,United States,2004,0,0,1,1
Heather Moody,27,United States,2000,0,1,0,1
Heather O'Reilly,27,United States,2012,1,0,0,1
Heather O'Reilly,23,United States,2008,1,0,0,1
Heather O'Reilly,19,United States,2004,1,0,0,1
Heather Petri,34,United States,2012,1,0,0,1
Heather Petri,30,United States,2008,0,1,0,1
Heather Petri,26,United States,2004,0,0,1,1
Heather Petri,22,United States,2000,0,1,0,1
Helen Resor,20,United States,2006,0,0,1,1
Henrik Rummel,24,United States,2012,0,0,1,1
Henry Cejudo,21,United States,2008,1,0,0,1
Hilary Knight,20,United States,2010,0,1,0,1
Holly McPeak,35,United States,2004,0,0,1,1
Hope Solo,30,United States,2012,1,0,0,1
Hope Solo,27,United States,2008,1,0,0,1
Hyleas Fountain,27,United States,2008,0,1,0,1
Ian Crocker,21,United States,2004,1,1,1,3
Ian Crocker,25,United States,2008,1,0,0,1
Ian Crocker,18,United States,2000,1,0,0,1
J. P. Kepka,21,United States,2006,0,0,1,1
J. R. Celski,19,United States,2010,0,0,2,2
J. W. Krumpholz,20,United States,2008,0,1,0,1
Jack Johnson,23,United States,2010,0,1,0,1
Jacob Wukie,26,United States,2012,0,1,0,1
Jacqueline Frank,24,United States,2004,0,0,1,1
Jaime Hipp,26,United States,2008,0,1,0,1
Jake Arrieta,22,United States,2008,0,0,1,1
Jake Kaminski,23,United States,2012,0,1,0,1
Jake Varner,26,United States,2012,1,0,0,1
James Harden,22,United States,2012,1,0,0,1
James Williams,22,United States,2008,0,1,0,1
Jamie Beyerle-Gray,28,United States,2012,1,0,0,1
Jamie Dantzscher,18,United States,2000,0,0,1,1
Jamie Hagerman,24,United States,2006,0,0,1,1
Jamie Langenbrunner,34,United States,2010,0,1,0,1
Jamie Rauch,21,United States,2000,0,1,0,1
Jamill Kelly,26,United States,2004,0,1,0,1
Janay DeLoach,26,United States,2012,0,0,1,1
Jason Donald,23,United States,2008,0,0,1,1
Jason Gatson,24,United States,2004,0,1,0,1
Jason Kidd,35,United States,2008,1,0,0,1
Jason Kidd,27,United States,2000,1,0,0,1
Jason Lezak,32,United States,2008,2,0,1,3
Jason Lezak,28,United States,2004,1,0,1,2
Jason Lezak,24,United States,2000,1,1,0,2
Jason Lezak,36,United States,2012,0,1,0,1
Jason Read,26,United States,2004,1,0,0,1
Jason Richardson,26,United States,2012,0,1,0,1
Jason Rogers,25,United States,2008,0,1,0,1
Jason Turner,33,United States,2008,0,0,1,1
Jayson Nix,25,United States,2008,0,0,1,1
Jearl Miles-Clark,34,United States,2000,1,0,0,1
Jeff Demps,22,United States,2012,0,1,0,1
Jeff Powers,28,United States,2008,0,1,0,1
Jeff Stevens,24,United States,2008,0,0,1,1
Jen Kessy,34,United States,2012,0,1,0,1
Jeneba Tarmoh,22,United States,2012,1,0,0,1
Jenn Stuczynski-Suhr,30,United States,2012,1,0,0,1
Jenn Stuczynski-Suhr,26,United States,2008,0,1,0,1
Jennie Finch,27,United States,2008,0,1,0,1
Jennie Finch,23,United States,2004,1,0,0,1
Jennie Reed,34,United States,2012,0,1,0,1
Jennifer Brundage,27,United States,2000,1,0,0,1
Jennifer Joines,25,United States,2008,0,1,0,1
Jennifer McFalls,28,United States,2000,1,0,0,1
Jennifer Rodriguez,25,United States,2002,0,0,2,2
Jenny Schmidgall-Potter,31,United States,2010,0,1,0,1
Jenny Schmidgall-Potter,27,United States,2006,0,0,1,1
Jenny Schmidgall-Potter,23,United States,2002,0,1,0,1
Jenny Thompson,27,United States,2000,3,0,1,4
Jenny Thompson,31,United States,2004,0,2,0,2
Jenny Topping,24,United States,2004,1,0,0,1
Jeremy Cummings,31,United States,2008,0,0,1,1
Jeremy Roenick,32,United States,2002,0,1,0,1
Jeremy Wariner,24,United States,2008,1,1,0,2
Jeremy Wariner,20,United States,2004,2,0,0,2
Jeret Peterson,28,United States,2010,0,1,0,1
Jermain Taylor,22,United States,2000,0,0,1,1
Jesse Smith,25,United States,2008,0,1,0,1
Jessica Hardy,25,United States,2012,1,0,1,2
Jessica Mendoza,27,United States,2008,0,1,0,1
Jessica Mendoza,23,United States,2004,1,0,0,1
Jessica Steffens,25,United States,2012,1,0,0,1
Jessica Steffens,21,United States,2008,0,1,0,1
Jessie Vetter,24,United States,2010,0,1,0,1
Jill Bakken,25,United States,2002,1,0,0,1
Jill Kintner,26,United States,2008,0,0,1,1
Jim Shea Jr.,33,United States,2002,1,0,0,1
Jimmy Feigen,22,United States,2012,0,1,0,1
Jimmy Pedro,33,United States,2004,0,0,1,1
Jinelle Zaugg-Siergiej,23,United States,2010,0,1,0,1
JJ Isler,36,United States,2000,0,1,0,1
JJ Thomas,20,United States,2002,0,0,1,1
Joanna Hayes,27,United States,2004,1,0,0,1
Jocelyne Lamoureux,20,United States,2010,0,1,0,1
Joe Pack,23,United States,2002,0,1,0,1
Joe Pavelski,25,United States,2010,0,1,0,1
Joe Polo,23,United States,2006,0,0,1,1
Joey Cheek,26,United States,2006,1,1,0,2
Joey Cheek,22,United States,2002,0,0,1,1
Joey Hagerty,26,United States,2008,0,0,1,1
Joey Hansen,25,United States,2004,1,0,0,1
John Cotton,29,United States,2000,1,0,0,1
John Gall,30,United States,2008,0,0,1,1
John Godina,28,United States,2000,0,0,1,1
John LeClair,32,United States,2002,0,1,0,1
John Lovell,36,United States,2004,0,1,0,1
John Moffitt,23,United States,2004,0,1,0,1
John Shuster,23,United States,2006,0,0,1,1
John Williams,39,United States,2004,0,0,1,1
Johnny Spillane,29,United States,2010,0,3,0,3
Jon Drummond,32,United States,2000,1,0,0,1
Jon Rauch,21,United States,2000,1,0,0,1
Jonathan Horton,22,United States,2008,0,1,1,2
Jonathan Kuck,19,United States,2010,0,1,0,1
Jonathan McKee,40,United States,2000,0,0,1,1
Jordan Burroughs,24,United States,2012,1,0,0,1
Jordan Larson,25,United States,2012,0,1,0,1
Jordan Malone,25,United States,2010,0,0,1,1
Jordyn Wieber,17,United States,2012,1,0,0,1
Josh Davis,28,United States,2000,0,2,0,2
Josh Inman,28,United States,2008,0,0,1,1
Josh Mance,20,United States,2012,0,1,0,1
Joy Fawcett,36,United States,2004,1,0,0,1
Joy Fawcett,32,United States,2000,0,1,0,1
Julia Mancuso,25,United States,2010,0,2,0,2
Julia Mancuso,21,United States,2006,1,0,0,1
Julia Smit,20,United States,2008,0,1,1,2
Julia Stowers,18,United States,2000,1,0,0,1
Julie Black-Burns Richards,33,United States,2004,0,0,1,1
Julie Chu,27,United States,2010,0,1,0,1
Julie Chu,23,United States,2006,0,0,1,1
Julie Chu,19,United States,2002,0,1,0,1
Julie Foudy,33,United States,2004,1,0,0,1
Julie Foudy,29,United States,2000,0,1,0,1
Julie Swail-Ertel,27,United States,2000,0,1,0,1
Justin Gatlin,22,United States,2004,1,1,1,3
Justin Gatlin,30,United States,2012,0,1,1,2
Justin Olsen,22,United States,2010,1,0,0,1
Justin Spring,24,United States,2008,0,0,1,1
Kacey Bellamy,22,United States,2010,0,1,0,1
Kaitlin Sandeno,21,United States,2004,1,1,1,3
Kaitlin Sandeno,17,United States,2000,0,0,1,1
Kami Craig,25,United States,2012,1,0,0,1
Kami Craig,21,United States,2008,0,1,0,1
Kara Kohler,21,United States,2012,0,0,1,1
Kara Lawson,27,United States,2008,1,0,0,1
Kara Lynn Joyce,22,United States,2008,0,2,0,2
Kara Lynn Joyce,18,United States,2004,0,2,0,2
Kara Wolters,25,United States,2000,1,0,0,1
Karen Kraft,31,United States,2000,0,0,1,1
Karen Lende O'Connor,42,United States,2000,0,0,1,1
Karen Thatcher,25,United States,2010,0,1,0,1
Karyn Bye,30,United States,2002,0,1,0,1
Kate Sobrero-Markgraf,31,United States,2008,1,0,0,1
Kate Sobrero-Markgraf,27,United States,2004,1,0,0,1
Kate Sobrero-Markgraf,24,United States,2000,0,1,0,1
Katherine Reutter,21,United States,2010,0,1,1,2
Kathleen Kauth,26,United States,2006,0,0,1,1
Kathy Sheehy,30,United States,2000,0,1,0,1
Katie Hoff,19,United States,2008,0,1,2,3
Katie Johnson,25,United States,2004,0,1,0,1
Katie King,30,United States,2006,0,0,1,1
Katie King,26,United States,2002,0,1,0,1
Katie Ledecky,15,United States,2012,1,0,0,1
Katie Smith,34,United States,2008,1,0,0,1
Katie Smith,30,United States,2004,1,0,0,1
Katie Smith,26,United States,2000,1,0,0,1
